 Word,Inappropriate,Part of Speech,Pictionary Category,Source (URL etc.),Sense
fish,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
fisherman,,noun,people,From the Pictionary Game,
fishing rod,,noun,object,From the Pictionary Game,
fist,,noun,-,https://www.thegamegal.com/printables/,
flag,,noun,object,https://hobbylark.com/party-games/pictionary-words,
flagpole,,noun,object,https://www.thegamegal.com/printables/,
flame,,noun,,From the Pictionary Game,
flashlight,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
flask,,noun,object,From the Pictionary Game,
flat,,noun,place,From the Pictionary Game,
flower,,noun,plant,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
flute,,noun,object,https://www.thegamegal.com/printables/,
flying saucer,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
fog,,noun,-,https://www.thegamegal.com/printables/,
food poisoning,,noun,-,From the Pictionary Game,
foot,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
football,,noun,sports activity,Nil,
footprint,,noun,-,From the Pictionary Game,
forehead,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
forest,,noun,place,From the Pictionary Game,
forever,,noun,-,https://partyjoys.com/creative-lists-of-pictionary-words,
fork,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
fossil,,noun,object,From the Pictionary Game,
fox,,noun,animal,From the Pictionary Game,
french fries,,noun,food type,https://www.thegamegal.com/printables/,
frog,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
fruit,,noun,object,From the Pictionary Game,
frying pan,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
full,,noun,-,https://www.thegamegal.com/printables/,
fur,,noun,-,https://www.thegamegal.com/printables/,
fuse,,noun,object,From the Pictionary Game,object
garbage,,noun,object,https://www.thegamegal.com/printables/,
garden,,noun,place,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
garden centre,,noun,place,From the Pictionary Game,
garden fence,,noun,object,From the Pictionary Game,
gate,,noun,object,https://www.thegamegal.com/printables/,
germ,,noun,-,From the Pictionary Game,
ghost,,noun,-,https://www.thegamegal.com/printables/,
giant,,noun,-,https://partyjoys.com/creative-lists-of-pictionary-words,
gift,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
giraffe,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
girl,,noun,-,https://www.thegamegal.com/printables/,
glacier,,noun,-,From the Pictionary Game,
glass,,noun,object,From the Pictionary Game,
glasses,,noun,object,https://in.pinterest.com/pin/433260426650514145/,
gloves,,noun,object,Nil,
glue,,noun,object,From the Pictionary Game,
goal post,,noun,object,From the Pictionary Game,
goggles,,noun,object,https://www.thegamegal.com/printables/,
gold,,noun,object,https://www.thegamegal.com/printables/,
goldfish,,noun,animal,From the Pictionary Game,
golf,,noun,sports activity,Nil,
gorilla,,noun,animal,From the Pictionary Game,
graffiti,,noun,object,From the Pictionary Game,
grandchild,,noun,person,From the Pictionary Game,
grandpa,,noun,person,https://www.thegamegal.com/printables/,
grape,,noun,object,From the Pictionary Game,
grass,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
gratitude,,noun,emotion,https://partyjoys.com/creative-lists-of-pictionary-words,
grave,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
graveyard,,noun,place,https://partyjoys.com/creative-lists-of-pictionary-words,
gravity,,noun,-,From the Pictionary Game,
greenhouse gas,,noun,object,From the Pictionary Game,
ground floor,,noun,place,From the Pictionary Game,
guard dog,,noun,animal,From the Pictionary Game,
guide dog,,noun,animal,From the Pictionary Game,
guitar,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
gym,,noun,place,From the Pictionary Game,
gymnastics,,noun,-,Nil,
habit,,noun,,From the Pictionary Game,
hail,,noun,object,https://www.thegamegal.com/printables/,
hailstones,,noun,object,From the Pictionary Game,
hair,,noun,body part /object,https://in.pinterest.com/pin/28429041376533862/,
hair dryer,,noun,object,https://www.thegamegal.com/printables/,
hair spray,,noun,object,From the Pictionary Game,
hairdresser,,noun,person,From the Pictionary Game,
hairline,,noun,body part /object,From the Pictionary Game,
halloween,,noun,day,From the Pictionary Game,
hamburger,,noun,food,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
hammer,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
handball,,noun,sports,From the Pictionary Game,
handkerchief,,noun,object,From the Pictionary Game,
handle,,noun,object,https://www.thegamegal.com/printables/,object
harbour,,noun,place,From the Pictionary Game,
harp,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
harry potter,,noun,movie/person,Nil,
hat,,noun,object,https://in.pinterest.com/pin/433260426650514145/,
haystack,,noun,object,From the Pictionary Game,
headache,,noun,feeling,From the Pictionary Game,
headlights,,noun,object,From the Pictionary Game,
headphones,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
health,,noun,-,From the Pictionary Game,
hearing aid,,noun,object,From the Pictionary Game,
heart,,noun,body part,https://www.thegamegal.com/printables/,
heel,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,of leg
heel,,noun,object,https://in.pinterest.com/pin/28429041376533862/,of shoe
helicopter,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
helmet,,noun,object,Nil,
hero,,noun,person,From the Pictionary Game,
hexagon,,noun,shape,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
hippo,,noun,animal,https://www.thegamegal.com/printables/,
hippopotamus,,noun,animal,https://www.thegamegal.com/printables/,
hockey,,noun,sports,Nil,
hockey stick,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
holidays,,noun,-,https://partyjoys.com/creative-lists-of-pictionary-words,
home,,noun,place,https://partyjoys.com/creative-lists-of-pictionary-words,
honey moon,,noun,-,From the Pictionary Game,
honeycomb,,noun,object,From the Pictionary Game,
hook,,noun,object,From the Pictionary Game,
horror,,noun,feeling,https://partyjoys.com/creative-lists-of-pictionary-words,
horse,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
horseshoe,,noun,object,From the Pictionary Game,
hose,,noun,object,From the Pictionary Game,
hospital,,noun,place,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
hot air balloon,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
hotel,,noun,place,From the Pictionary Game,
hotwater,,noun,object,From the Pictionary Game,
hourglass,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
house,,noun,place,https://in.pinterest.com/pin/28429041376913056/,
house plant,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
houseboat,,noun,place,https://www.thegamegal.com/printables/,
hulk,,noun,person,Nil,
human-skeleton,,noun,body part,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
hurricane,,noun,-,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
husband,,noun,person,https://www.thegamegal.com/printables/,
hut,,noun,place,https://www.thegamegal.com/printables/,
hydrogen,,noun,-,https://www.thegamegal.com/printables/,
ice,,noun,object,https://www.thegamegal.com/printables/,
ice age,,noun,-,From the Pictionary Game,
ice cream,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
ice cream cone,,noun,object,https://www.thegamegal.com/printables/,
ice cube,,noun,object,From the Pictionary Game,
ice skating,,noun,sports actitvity/action,Nil,
icing,,noun,object,From the Pictionary Game,
id,,noun,-,Nil,
igloo,,noun,object,From the Pictionary Game,
illusion,,noun,-,From the Pictionary Game,
immigration,,noun,-,From the Pictionary Game,
india,,noun,place,From the Pictionary Game,
inflation,,noun,-,From the Pictionary Game,
ink,,noun,object,From the Pictionary Game,
inner tube,,noun,object,From the Pictionary Game,
internet,,noun,,https://www.thegamegal.com/printables/,
interval,,noun,,From the Pictionary Game,
inventor,,noun,person,From the Pictionary Game,
ipad,,noun,object,https://www.thegamegal.com/printables/,
ironing board,,noun,object,From the Pictionary Game,
jacket,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
jackpot,,noun,,From the Pictionary Game,
jail,,noun,place,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
james bond,,noun,person,From the Pictionary Game,
jar,,noun,object,https://www.thegamegal.com/printables/,
jaws,,noun,body part / object,From the Pictionary Game,
jellyfish,,noun,animal,https://www.thegamegal.com/printables/,
jewellery,,noun,object,From the Pictionary Game,
jewellery box,,noun,object,From the Pictionary Game,
jigsaw puzzle,,noun,object,From the Pictionary Game,
jingle bells,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
juggling balls,,noun,object,From the Pictionary Game,
jukebox,,noun,object,From the Pictionary Game,
jumper,,noun,person,From the Pictionary Game,
jungle,,noun,place,https://www.thegamegal.com/printables/,
jurassic park,,noun,movie,From the Pictionary Game,
kangaroo,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
karaoke,,noun,-,From the Pictionary Game,
kettle ,,noun,object,From the Pictionary Game,
key,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
keyboard,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
killer whale,,noun,animal,From the Pictionary Game,
kilogram,,noun,quanity,https://www.thegamegal.com/printables/,
kitchen scales,,noun,object,From the Pictionary Game,
kite,,noun,object,https://www.thegamegal.com/printables/,
kitten,,noun,animal,https://hobbylark.com/party-games/pictionary-words,
kiwi,,noun,food,https://hobbylark.com/party-games/pictionary-words,
knee,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
knife,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
knight,,noun,person,https://www.thegamegal.com/printables/,
knob,,noun,object,From the Pictionary Game,
knot,,noun,object,From the Pictionary Game,
koala bear,,noun,animal,From the Pictionary Game,
lace,,noun,object,https://www.thegamegal.com/printables/,
ladder,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
lake,,noun,place,From the Pictionary Game,
lamp,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
land,,noun,object,From the Pictionary Game,
landscape,,noun,,https://www.thegamegal.com/printables/,
landslide,,noun,,From the Pictionary Game,
language,,noun,,From the Pictionary Game,
lantern,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
lap,,noun,body part,https://www.thegamegal.com/printables/,
laptop,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
launch pad,,noun,,From the Pictionary Game,
lava,,noun,,From the Pictionary Game,
lawn,,noun,place,From the Pictionary Game,
lawnmower,,noun,object,https://www.thegamegal.com/printables/,
leaf,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
leak,,noun,action,https://partyjoys.com/creative-lists-of-pictionary-words,
leap year,,noun,,From the Pictionary Game,
leg,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
lemon,,noun,food,https://en.islcollective.com/resources/printables/worksheets_doc_docx/fruit_pictionary/food/106625,
length,,noun,quantity,From the Pictionary Game,
lesson,,noun,,From the Pictionary Game,
letter box,,noun,object,From the Pictionary Game,
lettuce,,noun,food,From the Pictionary Game,
library,,noun,place,From the Pictionary Game,
lid,,noun,object,From the Pictionary Game,
life boat,,noun,object,From the Pictionary Game,
life jacket,,noun,object,From the Pictionary Game,
light bulb,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
lighter,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
lighthouse,,noun,place,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
lightning,,noun,,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
line,,noun,,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
lion,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
lips,,noun,body part,https://www.thegamegal.com/printables/,
lipstick,,noun,object,https://hobbylark.com/party-games/pictionary-words,
little finger,,noun,body part,From the Pictionary Game,
lizard,,noun,animal,http://sketchy.eye.gatech.edu/explore/rabbit.html,
locket,,noun,object,From the Pictionary Game,
logo,,noun,,https://www.thegamegal.com/printables/,
lollipop,,noun,food,https://hobbylark.com/party-games/pictionary-words,
long jump,,noun,sports,From the Pictionary Game,
loudspeaker,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
lyrics,,noun,,https://www.thegamegal.com/printables/,
machine gun,,noun,object,From the Pictionary Game,
magician,,noun,person,From the Pictionary Game,
magnet,,noun,object,https://hobbylark.com/party-games/pictionary-words,
mailbox,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
mailman,,noun,person,https://www.thegamegal.com/printables/,
mango,,noun,food,https://en.islcollective.com/resources/printables/worksheets_doc_docx/fruit_pictionary/food/106625,
map,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
marathon,,noun,sports,From the Pictionary Game,
marker,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
market,,noun,place,From the Pictionary Game,
mars,,noun,place,From the Pictionary Game,
masterpiece,,noun,object,From the Pictionary Game,
match,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
mattress,,noun,object,https://www.thegamegal.com/printables/,
maze,,noun,,From the Pictionary Game,
medal,,noun,object,From the Pictionary Game,
mermaid,,noun,person ,https://hobbylark.com/party-games/pictionary-words,
meteor,,noun,object,From the Pictionary Game,
microphone,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
microscope,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
microwave,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
mid-air,,noun,,From the Pictionary Game,
middle,,noun,,From the Pictionary Game,
midnight,,noun,,From the Pictionary Game,
mile,,noun,quantity,From the Pictionary Game,
millionaire,,noun,person,From the Pictionary Game,
mind reader,,noun,person,From the Pictionary Game,
mine,,noun,place,https://www.thegamegal.com/printables/,To mine (a verb)(to mine coals)
mine,,noun,,https://www.thegamegal.com/printables/,used to refer to things belonging to myself
mineral water,,noun,object,From the Pictionary Game,
miniskirt,,noun,object,From the Pictionary Game,
minute,,noun,,From the Pictionary Game,A time measureing unit
minute,,noun,,From the Pictionary Game,also adjective ( very small)
mirror,,noun,object,https://www.thegamegal.com/printables/,
mobile phone,,noun,object,From the Pictionary Game,
mona lisa,,noun,,From the Pictionary Game,
monday,,noun,,From the Pictionary Game,
money,,noun,object,https://www.thegamegal.com/printables/,
monkey,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
monster,,noun,,https://partyjoys.com/creative-lists-of-pictionary-words,
moon,,noun,,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
moonlight,,noun,,https://partyjoys.com/creative-lists-of-pictionary-words,
mosaic,,noun,object,From the Pictionary Game,
mosquito,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
mother,,noun,person,From the Pictionary Game,
mother-in-law,,noun,person,From the Pictionary Game,
motorbike,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
motorcycle,,noun,object,http://sketchy.eye.gatech.edu/explore/rabbit.html,
motorway,,noun,,From the Pictionary Game,
mountain,,noun,,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
mouse,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,also computer device
mouse,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,animal
mousetrap,,noun,object,From the Pictionary Game,
moustache,,noun,body part,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
mouth,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
mouthwash,,noun,object,From the Pictionary Game,
mud,,noun,,From the Pictionary Game,
muffin,,noun,food,https://www.thegamegal.com/printables/,
mug,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
multimedia,,noun,,From the Pictionary Game,
mummy,,noun,,From the Pictionary Game,
mushroom,,noun,food,https://www.woodwardenglish.com/fruit-and-vegetables-in-english/,
music,,noun,,https://hobbylark.com/party-games/pictionary-words,
myth,,noun,,https://www.thegamegal.com/printables/,
nail,,noun,body part,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
nail polish,,noun,object,From the Pictionary Game,
napkin,,noun,object,From the Pictionary Game,
nature,,noun,,https://www.thegamegal.com/printables/,
neck,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
necklace,,noun,object,https://in.pinterest.com/pin/433260426650514145/,
needle,,noun,object,From the Pictionary Game,
negative,,noun,,From the Pictionary Game,
neighborhood,,noun,place,https://www.thegamegal.com/printables/,
neighbour,,noun,person,From the Pictionary Game,
nerve,,noun,body part,From the Pictionary Game,brain nerve
nest,,noun,object,From the Pictionary Game,
net,,noun,,Nil,total
net,,noun,object,Nil,used to refer to internet
neutron,,noun,,https://www.thegamegal.com/printables/,
newsletter,,noun,object,https://www.thegamegal.com/printables/,
newspaper,,noun,object,https://www.thegamegal.com/printables/,
nightmare,,noun,,https://partyjoys.com/creative-lists-of-pictionary-words,
north pole,,noun,place,https://hobbylark.com/party-games/pictionary-words,
north star,,noun,,From the Pictionary Game,
nose,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
nose ring,,noun,object,From the Pictionary Game,
notebook,,noun,object,From the Pictionary Game,
nun,,noun,person,From the Pictionary Game,
nurse,,noun,person,https://hobbylark.com/party-games/pictionary-words,
nutcrackers,,noun,object,From the Pictionary Game,
oasis,,noun,place,From the Pictionary Game,
observatory,,noun,place,https://www.thegamegal.com/printables/,
ocean,,noun,place,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
octagon,,noun,shape,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
octopus,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
oil,,noun,,From the Pictionary Game,
omelette,,noun,food,From the Pictionary Game,
onion,,noun,food,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
orange,,noun,food,https://en.islcollective.com/resources/printables/worksheets_doc_docx/fruit_pictionary/food/106625,
orphan,,noun,person,From the Pictionary Game,
ostrich,,noun,animal,From the Pictionary Game,
outer space,,noun,place,From the Pictionary Game,
oven,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
owl,,noun,animal,https://hobbylark.com/party-games/pictionary-words,
oxygen mask,,noun,object,From the Pictionary Game,
padlock,,noun,object,From the Pictionary Game,
pain,,noun,feeling,From the Pictionary Game,
paint pot,,noun,object,From the Pictionary Game,
paintbrush,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
painter,,noun,person,From the Pictionary Game,
painting,,noun,action,From the Pictionary Game,
palace,,noun,place,https://www.thegamegal.com/printables/,
palm,,noun,plant,From the Pictionary Game,also palm tree
palm,,noun,body part,From the Pictionary Game,palm of hands
palm tree,,noun,plant,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pancake,,noun,food,From the Pictionary Game,
panda,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pants,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
paper clip,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
paper plate,,noun,object,From the Pictionary Game,
parachute,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
parades,,noun,,https://partyjoys.com/creative-lists-of-pictionary-words,
paragraph,,noun,,From the Pictionary Game,
paris,,noun,place,From the Pictionary Game,
parrot,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
party hat,,noun,object,From the Pictionary Game,
passport,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
password,,noun,,https://www.thegamegal.com/printables/,
pastry,,noun,food,https://www.thegamegal.com/printables/,
path,,noun,,From the Pictionary Game,
pavement,,noun,,From the Pictionary Game,
pea,,noun,food,https://www.woodwardenglish.com/fruit-and-vegetables-in-english/,
peace,,noun,,From the Pictionary Game,
peacock,,noun,animal,From the Pictionary Game,
peanut,,noun,food,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pear,,noun,food,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pearl,,noun,object,From the Pictionary Game,
pearl necklace,,noun,object,From the Pictionary Game,
peasant,,noun,person,https://www.thegamegal.com/printables/,
pen,,noun,object,https://www.thegamegal.com/printables/,
pencil,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
penguin,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pepper,,noun,food,From the Pictionary Game,
perfume,,noun,object,From the Pictionary Game,
person,,noun,person,https://www.thegamegal.com/printables/,
person sitting,,noun,human activity,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
person walking,,noun,human activity,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
petal,,noun,object,From the Pictionary Game,
petrol,,noun,object,From the Pictionary Game,
pharmacy,,noun,place,From the Pictionary Game,
philosopher,,noun,person,https://www.thegamegal.com/printables/,
photocopier,,noun,object,From the Pictionary Game,
photograph,,noun,object,https://www.thegamegal.com/printables/,
pianist,,noun,person,From the Pictionary Game,
piano,,noun,object,https://hobbylark.com/party-games/pictionary-words,
pickup truck,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
picnic,,noun,,https://www.thegamegal.com/printables/,
picnic basket,,noun,object,From the Pictionary Game,
picture,,noun,object,From the Pictionary Game,
picture frame,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pie,,noun,food,https://www.thegamegal.com/printables/,
pig,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pigeon,,noun,animal,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
pigeon hole,,noun,,From the Pictionary Game,
piggy bank,,noun,object,From the Pictionary Game,
pillar,,noun,object,From the Pictionary Game,
pillow,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pillowcase,,noun,object,From the Pictionary Game,
pilot,,noun,person,https://www.thegamegal.com/printables/,
pineapple,,noun,food,https://en.islcollective.com/resources/printables/worksheets_doc_docx/fruit_pictionary/food/106625,
pipe,,noun,object,From the Pictionary Game,
pistol,,noun,object,http://sketchy.eye.gatech.edu/explore/rabbit.html,
pizza,,noun,food,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
plane crash,,noun,,From the Pictionary Game,
plank,,noun,object,https://www.thegamegal.com/printables/,
plaster,,noun,,From the Pictionary Game,
plastic surgery,,noun,,From the Pictionary Game,
plate,,noun,object,https://www.thegamegal.com/printables/,
plato,,noun,person,From the Pictionary Game,
playground,,noun,place,https://hobbylark.com/party-games/pictionary-words,
plum,,noun,food,From the Pictionary Game,
pocket,,noun,,https://www.thegamegal.com/printables/,
pocket watch,,noun,object,From the Pictionary Game,
polar bear,,noun,animal,From the Pictionary Game,
police car,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
policewoman,,noun,person,From the Pictionary Game,
pond,,noun,place,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pony tail,,noun,,From the Pictionary Game,
pool,,noun,,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
popcorn,,noun,food,https://www.thegamegal.com/printables/,
porcupine,,noun,animal,From the Pictionary Game,
post office,,noun,place,https://www.thegamegal.com/printables/,
postcard,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
poster,,noun,object,From the Pictionary Game,
postman,,noun,person,From the Pictionary Game,
potato,,noun,food,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
potrait,,noun,object,From the Pictionary Game,
potted plant,,noun,plant,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
power lines,,noun,object,From the Pictionary Game,
power outlet,,noun,,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
professor,,noun,person,https://www.thegamegal.com/printables/,
profit,,noun,,From the Pictionary Game,
proposal,,noun,,https://partyjoys.com/creative-lists-of-pictionary-words,
protestant,,noun,person,https://www.thegamegal.com/printables/,
psychiartist,,noun,person,From the Pictionary Game,
psychologist,,noun,person,https://www.thegamegal.com/printables/,
pub,,noun,place,From the Pictionary Game,
puddle,,noun,,From the Pictionary Game,
pulse,,noun,,From the Pictionary Game,
pumpkin,,noun,food,https://hobbylark.com/party-games/pictionary-words,
puppet,,noun,object,https://www.thegamegal.com/printables/,
puppy,,noun,animal,From the Pictionary Game,
purse,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
pyjamas,,noun,,From the Pictionary Game,
pyramid,,noun,shape,From the Pictionary Game,
queen,,noun,person,https://www.thegamegal.com/printables/,
rabbit,,noun,animal,https://in.pinterest.com/pin/28429041376913056/,
raccon,,noun,animal,http://sketchy.eye.gatech.edu/explore/rabbit.html,
race car,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
racket,,noun,object,http://sketchy.eye.gatech.edu/explore/rabbit.html,
radiation,,noun,,From the Pictionary Game,
radio,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
rain forest,,noun,place,From the Pictionary Game,
rainbow,,noun,,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
raindrop,,noun,,https://hobbylark.com/party-games/pictionary-words,
rainwater,,noun,,https://www.thegamegal.com/printables/,
rat,,noun,animal,From the Pictionary Game,
rat race,,noun,,From the Pictionary Game,
ray,,noun,,https://partyjoys.com/creative-lists-of-pictionary-words,
razor,,noun,object,From the Pictionary Game,
rearview mirror,,noun,object,From the Pictionary Game,
reception,,noun,,https://partyjoys.com/creative-lists-of-pictionary-words,
receptionist,,noun,person,From the Pictionary Game,
red carpet,,noun,object,From the Pictionary Game,
red wine,,noun,food,From the Pictionary Game,
referee,,noun,person,From the Pictionary Game,
reflection,,noun,,From the Pictionary Game,
reflector,,noun,object,From the Pictionary Game,
relay race,,noun,,From the Pictionary Game,
religion,,noun,,From the Pictionary Game,
remote control,,noun,,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
reporter,,noun,person,From the Pictionary Game,
restaurant,,noun,place,From the Pictionary Game,
retail,,noun,,https://www.thegamegal.com/printables/,
revolver,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
reward,,noun,,From the Pictionary Game,
rhinoceros,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
rib,,noun,body part,https://www.thegamegal.com/printables/,
ribbon,,noun,object,From the Pictionary Game,
rice,,noun,food,https://in.pinterest.com/pin/28429041376913056/,
rifle,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
right,,noun,,From the Pictionary Game,direction
rim,,noun,,https://www.thegamegal.com/printables/,
