 Word,Inappropriate,Part of Speech,Pictionary Category,Source (URL etc.),Sense
artist,,noun,people,https://www.thegamegal.com/printables/,
ashes,,noun,object,From the Pictionary Game,
asteroid,,noun,object,From the Pictionary Game,
astronaut,,noun,people,From the Pictionary Game,
astronomy,,noun,-,From the Pictionary Game,
auto-pilot,,noun,-,From the Pictionary Game,
autumn,,noun,season name,From the Pictionary Game,
axe,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
axle,,noun,object,From the Pictionary Game,
baby,,noun,people,https://www.thegamegal.com/printables/,
backbone,,noun,body part,https://www.thegamegal.com/printables/,
backpack,,noun,object,https://in.pinterest.com/pin/433260426650514145/,
badge,,noun,object,From the Pictionary Game,
badminton,,noun,sports activity,Nil,
bag,,noun,object,https://in.pinterest.com/pin/433260426650514145/,
bald,,noun,-,https://www.thegamegal.com/printables/,
ball,,noun,object,Nil,
balloon,,noun,object,https://www.thegamegal.com/printables/,
banana,,noun,object,https://en.islcollective.com/resources/printables/worksheets_doc_docx/fruit_pictionary/food/106625,
bandage,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
bank,,noun,place,From the Pictionary Game,
barber,,noun,people,https://www.thegamegal.com/printables/,
barn,,noun,place,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
barrier,,noun,object,From the Pictionary Game,
base,,noun,object,https://www.thegamegal.com/printables/,bottom part of an object
base,,noun,place,https://www.thegamegal.com/printables/,place (eg base of military)
baseball,,noun,sports activity,Nil,
baseball bat,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
basement,,noun,place,From the Pictionary Game,
basket,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
basketball,,noun,sports activity,Nil,name of a sports
basketball,,noun,object,Nil,object (equipment)
bat,,noun,animal,https://partyjoys.com/creative-lists-of-pictionary-words,
bathroom,,noun,place,https://partyjoys.com/creative-lists-of-pictionary-words,
bathtub,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
batman,,noun,movie name,Nil,
battery,,noun,object,https://www.thegamegal.com/printables/,
beach,,noun,place,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
beach ball,,noun,object,From the Pictionary Game,
bean bag,,noun,object,From the Pictionary Game,
bear,,noun,action,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,(of a person) carry
bear,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,animal
beard,,noun,thing,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
bed,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
bee,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
beetle,,noun,animal,http://sketchy.eye.gatech.edu/explore/rabbit.html,
bell,,noun,object,https://www.thegamegal.com/printables/,
belt,,noun,,https://in.pinterest.com/pin/433260426650514145/,
bench,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
best seller,,noun,object/quality,From the Pictionary Game,
bible,,noun,object,From the Pictionary Game,
bicycle,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
bigbrother,,noun,people relation,From the Pictionary Game,
binoculars,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
bird,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
birthday,,noun,-,https://www.thegamegal.com/printables/,
birthday cake,,noun,thing,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
biscuit,,noun,food type,https://www.thegamegal.com/printables/,
biscuit tin,,noun,object,From the Pictionary Game,
black belt,,noun,object,From the Pictionary Game,
blackberry,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
blackhole,,noun,-,From the Pictionary Game,
block,,noun,object,https://www.thegamegal.com/printables/,
blonde,,noun,quality,From the Pictionary Game,
blood pressure,,noun,-,From the Pictionary Game,
boat,,noun,object,From the Pictionary Game,
boat house,,noun,object,From the Pictionary Game,
body builder,,noun,people,From the Pictionary Game,
bolt,,noun,object,From the Pictionary Game,
bone,,noun,body part,https://www.thegamegal.com/printables/,
book,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
bookmark,,noun,-,From the Pictionary Game,
bookshelf,,noun,-,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
boot,,noun,object,https://www.thegamegal.com/printables/,
bottle,,noun,object,https://www.thegamegal.com/printables/,
bottle opener,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
bottlecap,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
bouquet,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
bow tie,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
bowl,,noun,object,https://www.thegamegal.com/printables/,
bowling,,noun,sports activity,Nil,
box,,noun,object,From the Pictionary Game,
box office,,noun,-,From the Pictionary Game,
boxer,,noun,people,From the Pictionary Game,person who is a boxer
boxer,,noun,cloth,From the Pictionary Game,Type of shorts
boy,,noun,people,https://www.thegamegal.com/printables/,
bracelet,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
brain,,noun,body part,https://hobbylark.com/party-games/pictionary-words,
brake,,noun,object,From the Pictionary Game,
brand,,noun,quality,https://www.thegamegal.com/printables/,
bread,,noun,thing,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
brick,,noun,object,From the Pictionary Game,
bride,,noun,people,https://www.thegamegal.com/printables/,
bridge,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
broken arm,,noun,-,From the Pictionary Game,
broken leg,,noun,-,From the Pictionary Game,
broom,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
brother,,noun,people relation,From the Pictionary Game,
bruise,,noun,-,https://www.thegamegal.com/printables/,
bubble,,noun,thing,https://www.thegamegal.com/printables/,
bubble bath,,noun,object,https://hobbylark.com/party-games/pictionary-words,
bubble wrap,,noun,object,From the Pictionary Game,
bucket,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
buckle,,noun,object,https://hobbylark.com/party-games/pictionary-words,
budget,,noun,-,From the Pictionary Game,
bulldozer,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
bullet,,noun,object,From the Pictionary Game,
bunk bed,,noun,object,From the Pictionary Game,
bus,,noun,object,https://hobbylark.com/party-games/pictionary-words,
bush,,noun,-,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
butterfly,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cabin,,noun,place,https://partyjoys.com/creative-lists-of-pictionary-words,
cable car,,noun,object,From the Pictionary Game,
cactus,,noun,plant,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cake,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
calculator,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
calendar,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
camcorder,,noun,object,From the Pictionary Game,
camel,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
camera,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
campaign,,noun,-,From the Pictionary Game,
campfire,,noun,thing,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
candle,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
candlesticks,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
candy,,noun,thing,https://partyjoys.com/creative-lists-of-pictionary-words,
cannon,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cape,,noun,object,https://www.thegamegal.com/printables/,
capsule,,noun,object,From the Pictionary Game,
car,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
car seat,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
card game,,noun,game,Nil,
cardboard,,noun,object,https://www.thegamegal.com/printables/,
carnival,,noun,-,From the Pictionary Game,
carpenter,,noun,people,From the Pictionary Game,
carrot,,noun,vegetable,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
